URL,Poet Name,Birth Year,Death Year,Extra Info
/wiki/Indran_Amirthanayagam,Indran Amirthanayagam,1960,unknown,"Indran Amirthanayagam (born 1960), Sri Lankan American poet, essayist and translator"
/wiki/Kingsley_Amis,Kingsley Amis,1922,1995,"Kingsley Amis (1922–1995), English author and poet"
/wiki/A._R._Ammons,A. R. Ammons,1926,2001,"A. R. Ammons (1926–2001), American author and poet"
/wiki/Anacreon_(poet),Anacreon,570 BC,488 BC,"Anacreon (570 BC–488 BC), Greek lyric poet"
/wiki/Alfred_Andersch,Alfred Andersch,1914,1980,"Alfred Andersch (1914–1980), German writer and publisher"
/wiki/Guda_Anjaiah,Guda Anjaiah,1955,2016,"Guda Anjaiah (1955–2016), Telugu Indian poet, singer, lyricist, and writer from the state of Telangana"
/wiki/Ana_Paula_Arendt,Ana Paula Arendt,1980,unknown,"Ana Paula Arendt (born 1980), Brazilian classical poet"
/wiki/Hans_Christian_Andersen,Hans Christian Andersen,1805,1875,"Hans Christian Andersen (1805–1875), Danish poet and children's writer"
/wiki/Victor_Henry_Anderson,Victor Henry Anderson,1917,2001,"Victor Henry Anderson (1917–2001), American poet, kahuna, and teacher of the Feri Tradition"
/wiki/Carlos_Drummond_de_Andrade,Carlos Drummond de Andrade,1902,1987,"Carlos Drummond de Andrade (1902–1987), Brazilian poet"
/wiki/M%C3%A1rio_de_Andrade,Mário de Andrade,1893,1945,"Mário de Andrade (1893–1945), Brazilian poet, novelist and critic"
/wiki/Bernard_Andr%C3%A9,Bernard André,1450,1522,"Bernard André (1450–1522), French Augustinian poet, poet laureate to Henry VII of England"
/wiki/Peter_Andrej,Peter Andrej,1959,unknown,"Peter Andrej (born 1959), Slovenian poet and musician"
/wiki/Sophia_de_Mello_Breyner_Andresen,Sophia de Mello Breyner Andresen,1919,2004,"Sophia de Mello Breyner Andresen (1919–2004), Portuguese poet and writer"
/wiki/Bruce_Andrews,Bruce Andrews,1948,unknown,"Bruce Andrews (born 1948), American Language poet"
/wiki/Kevin_Andrews_(writer),Kevin Andrews,1924,1989,"Kevin Andrews (1924–1989), Anglo-Greek philhellene writer and archeologist"
/wiki/Ron_Androla,Ron Androla,1954,unknown,"Ron Androla (born 1954), American poet"
/wiki/Guru_Angad,Guru Angad,1504,1552,"Guru Angad (1504–1552), Sikh Guru and Punjabi poet"
/wiki/Aneirin,Aneirin,501,unknown,"Aneirin (6th c.), Brythonic epic poet"
/wiki/Ralph_Angel,Ralph Angel,1951,unknown,"Ralph Angel (born 1951), American poet and translator"
/wiki/Maya_Angelou,Maya Angelou,1928,2014,"Maya Angelou (1928–2014), American poet"
/wiki/James_Stout_Angus,James Stout Angus,1830,1923,"James Stout Angus (1830–1923), Shetland poet writing mainly in Shetland dialect"
/wiki/Marion_Angus,Marion Angus,1865,1946,"Marion Angus (1865–1946), Scottish poet writing in Scots"
/wiki/J._K._Annand,J. K. Annand,1908,1993,"J. K. Annand (1908–1993), Scots poet best known for children's poems"
/wiki/Mika_Anti%C4%87,Mika Antić,1932,1986,"Mika Antić (1932–1986), Serbian poet"
/wiki/David_Antin,David Antin,1932,unknown,"David Antin (born 1932), American poet and critic"
/wiki/Antler_(poet),Antler,1946,unknown,"Antler (born 1946), American poet"
/wiki/Susanne_Antonetta,Susanne Antonetta,1956,unknown,"Susanne Antonetta (born 1956), American poet and author"
/wiki/Brother_Antoninus,Brother Antoninus,1912,1994,"Brother Antoninus (1912–1994), American poet"
/wiki/Chairil_Anwar,Chairil Anwar,1922,1949,"Chairil Anwar (1922–1949), Indonesian poet"
/wiki/Johannes_Anyuru,Johannes Anyuru,1979,unknown,"Johannes Anyuru (born 1979), Swedish poet"
/wiki/Guillaume_Apollinaire,Guillaume Apollinaire,1880,1918,"Guillaume Apollinaire (1880–1918), French poet"
/wiki/Apollonius_of_Rhodes,Apollonius of Rhodes,270 BC,245 BC,"Apollonius of Rhodes (270 – post–245 BC), poet and librarian at Library of Alexandria"
/wiki/Maja_Apostoloska,Maja Apostoloska,1976,unknown,"Maja Apostoloska (born 1976), Macedonian poet"
/wiki/Philip_Appleman,Philip Appleman,1926,unknown,"Philip Appleman (born 1926), American poet and professor"
/wiki/Lajos_%C3%81prily,Lajos Áprily,1887,1967,"Lajos Áprily (1887–1967), Hungarian poet and translator"
/wiki/Pawlu_Aquilina,Pawlu Aquilina,1929,2009,"Pawlu Aquilina (1929–2009), Maltese poet"
